Number of clicks on similar products;Number of similar products purchased so far;Average rating given to similar products;Gender;Median purchasing price (in rupees);Rating of the product;Brand of the product;Customer review sentiment score (overall);Price of the product;Holiday;Season;Geographical locations;Probability for the product to be recommended to the person
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
5;2;02.Бер;male;100;02.Тра;Johnson & Johnson;-0.7;100;No;summer;plains;0.1
42;21;04.Вер;female;2000;5.0;Wakefit;0.9;900;No;winter;mountains;1.0
14;7;03.Тра;male;300;03.Лип;Head & Shoulders;0.5;100;Yes;monsoon;plains;0.7
7;4;03.Січ;female;7000;03.Бер;Lakme Ayurveda;-0.2;1000;Yes;summer;plains;0.4
20;10;04.Кві;male;100;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
30;15;04.Лип;female;800;04.Вер;Pepperfry;0.9;700;No;winter;plains;1.0
16;9;04.Лют;male;5000;04.Кві;Lakme Ayurveda;0.7;600;Yes;summer;coastal;0.9
21;12;04.Сер;female;1000;5.0;Wildcraft;0.9;800;Yes;winter;mountains;1.0
11;6;03.Чер;male;4000;03.Сер;Flying Machine;0.3;500;Yes;summer;coastal;0.5
33;17;04.Вер;female;600;5.0;Wildcraft;0.9;700;No;winter;plains;1.0
25;12;04.Кві;male;300;04.Чер;Manyavar Mohey;0.8;400;No;summer;plains;0.9
18;9;04.Бер;female;7000;04.Тра;Lakme Ayurveda;0.8;800;Yes;summer;coastal;1.0
22;13;04.Чер;male;2000;04.Сер;Urban Ladder;0.9;900;No;winter;plains;1.0
10;5;3.0;female;100;03.Лют;Lee;0.0;200;Yes;summer;plains;0.1
27;13;04.Чер;male;300;04.Сер;Manyavar Mohey;0.9;800;No;summer;plains;1.0
15;8;03.Вер;female;4000;04.Січ;Pepperfry;0.7;600;Yes;winter;mountains;0.8
19;10;04.Бер;male;600;04.Тра;Johnson & Johnson;0.8;700;Yes;summer;coastal;1.0
23;14;04.Лип;female;1000;04.Вер;Wildcraft;0.9;800;No;winter;plains;1.0
13;7;03.Лип;male;400;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
28;15;04.Сер;female;500;5.0;Wakefit;0.9;900;Yes;summer;plains;1.0
17;9;04.Лют;male;200;04.Кві;Flying Machine;0.8;300;No;winter;plains;0.9
31;16;04.Сер;female;800;5.0;Pepperfry;0.9;700;No;winter;plains;1.0
12;6;03.Тра;male;5000;03.Лип;Urban Ladder;0.4;600;Yes;summer;coastal;0.6
26;13;04.Тра;female;300;04.Лип;Manyavar Mohey;0.8;400;No;summer;plains;0.9
10;5;3.0;female;100;03.Лют;Lee;0.0;200;Yes;summer;plains;0.1
27;13;04.Чер;male;300;04.Сер;Manyavar Mohey;0.9;800;No;summer;plains;1.0
15;8;03.Вер;female;4000;04.Січ;Pepperfry;0.7;600;Yes;winter;mountains;0.8
19;10;04.Бер;male;600;04.Тра;Johnson & Johnson;0.8;700;Yes;summer;coastal;1.0
23;14;04.Лип;female;1000;04.Вер;Wildcraft;0.9;800;No;winter;plains;1.0
13;7;03.Лип;male;400;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
28;15;04.Сер;female;500;5.0;Wakefit;0.9;900;Yes;summer;plains;1.0
17;9;04.Лют;male;200;04.Кві;Flying Machine;0.8;300;No;winter;plains;0.9
31;16;04.Сер;female;800;5.0;Pepperfry;0.9;700;No;winter;plains;1.0
12;6;03.Тра;male;5000;03.Лип;Urban Ladder;0.4;600;Yes;summer;coastal;0.6
26;13;04.Тра;female;300;04.Лип;Manyavar Mohey;0.8;400;No;summer;plains;0.9
9;5;03.Лют;male;400;03.Кві;AmazonBasics;-0.1;500;Yes;winter;plains;0.3
20;11;04.Кві;female;2000;04.Чер;Wildcraft;0.8;700;No;winter;plains;0.9
14;8;03.Сер;male;1000;4.0;Pepe Jeans London;0.7;200;No;summer;plains;0.8
29;15;04.Сер;female;6000;5.0;Lakme Ayurveda;0.9;800;Yes;winter;plains;1.0
18;10;04.Бер;male;300;04.Тра;Manyavar Mohey;0.8;500;No;summer;plains;0.9
32;17;04.Вер;female;700;5.0;Wildcraft;0.9;900;No;winter;plains;1.0
16;9;04.Лют;male;400;04.Кві;Johnson & Johnson;0.8;300;No;summer;plains;0.9
30;16;04.Сер;female;900;5.0;Pepperfry;0.9;700;No;winter;plains;1.0
11;6;03.Тра;male;6000;03.Лип;Urban Ladder;0.4;700;Yes;summer;coastal;0.6
25;13;04.Тра;female;400;04.Лип;Manyavar Mohey;0.8;400;No;summer;plains;0.9
8;5;03.Лют;male;500;03.Кві;AmazonBasics;-0.1;600;Yes;winter;plains;0.3
21;12;04.Чер;female;3000;04.Сер;Wakefit;0.9;800;Yes;summer;plains;1.0
15;9;4.0;male;200;04.Лют;Flying Machine;0.7;400;No;winter;plains;0.8
26;14;04.Лип;female;800;04.Вер;Wildcraft;0.9;900;No;winter;plains;1.0
10;6;03.Бер;male;700;03.Тра;Lee;0.1;200;No;summer;plains;0.4
18;11;04.Тра;female;4000;04.Лип;Johnson & Johnson;0.8;500;Yes;winter;coastal;1.0
33;18;5.0;male;500;5.0;Pepperfry;0.9;700;No;winter;plains;1.0
9;6;03.Бер;female;100;03.Тра;Manyavar Mohey;0.2;400;No;summer;plains;0.5
24;13;04.Чер;male;2000;04.Сер;AmazonBasics;-0.1;600;Yes;winter;plains;0.3
16;10;04.Січ;female;6000;04.Бер;Wildcraft;0.8;800;Yes;summer;coastal;0.9
29;16;04.Вер;male;300;5.0;Lee;0.8;300;No;summer;plains;1.0
11;7;03.Лип;female;700;03.Вер;Sugar Cosmetics;0.5;200;Yes;monsoon;plains;0.7
22;13;04.Лип;male;900;04.Вер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
17;10;04.Кві;female;5000;04.Чер;Wakefit;0.8;600;Yes;summer;plains;0.9
31;17;04.Вер;male;200;5.0;AmazonBasics;-0.1;700;No;winter;plains;1.0
14;9;4.0;female;4000;04.Лют;Wildcraft;0.7;800;Yes;summer;coastal;0.9
28;16;04.Вер;male;400;5.0;Manyavar Mohey;0.9;900;No;summer;plains;1.0
12;7;03.Чер;female;1000;03.Сер;Lakme Ayurveda;0.4;200;Yes;summer;coastal;0.6
25;14;04.Сер;male;800;5.0;Wildcraft;0.9;1000;Yes;winter;plains;1.0
8;6;03.Кві;female;2000;03.Чер;Johnson & Johnson;0.3;300;No;summer;coastal;0.6
21;13;04.Лип;male;300;04.Вер;Manyavar Mohey;0.9;800;Yes;winter;mountains;1.0
15;10;04.Січ;female;7000;04.Бер;Wakefit;0.8;900;Yes;summer;plains;0.9
30;17;04.Вер;male;400;5.0;Lee;0.9;300;No;summer;plains;1.0
10;7;03.Кві;female;100;03.Чер;Pepe Jeans London;0.2;400;No;winter;plains;0.5
19;12;04.Чер;male;2000;04.Сер;Johnson & Johnson;0.9;500;Yes;winter;coastal;1.0
34;19;5.0;female;500;5.0;Wildcraft;0.9;700;No;winter;plains;1.0
16;11;04.Бер;male;6000;04.Тра;Pepperfry;0.8;800;Yes;summer;coastal;0.9
29;17;04.Вер;female;300;5.0;Manyavar Mohey;0.9;900;No;summer;plains;1.0
13;8;03.Вер;male;800;04.Січ;Flying Machine;0.7;200;Yes;winter;plains;0.8
22;14;04.Сер;female;1000;5.0;Wildcraft;0.9;800;Yes;summer;plains;1.0
17;11;04.Тра;male;300;04.Лип;Pepe Jeans London;0.8;400;No;winter;plains;0.9
32;18;5.0;female;900;5.0;Wakefit;0.9;700;No;winter;plains;1.0
18;12;04.Лип;male;100;04.Вер;AmazonBasics;-0.1;800;Yes;winter;plains;0.3
26;15;04.Сер;female;2000;5.0;Wildcraft;0.9;900;No;winter;plains;1.0
11;8;03.Сер;male;4000;4.0;Sugar Cosmetics;0.6;200;Yes;monsoon;plains;0.8
20;13;04.Тра;female;500;04.Лип;Lee;0.8;300;No;summer;plains;0.9
15;11;04.Лют;male;6000;04.Кві;Lakme Ayurveda;0.8;800;Yes;summer;coastal;0.9
30;18;04.Вер;female;700;5.0;Wildcraft;0.9;1000;No;winter;plains;1.0
9;7;03.Тра;male;100;03.Лип;Pepperfry;0.0;400;Yes;winter;plains;0.1
24;14;04.Лип;female;3000;04.Вер;Manyavar Mohey;0.9;900;Yes;winter;plains;1.0
16;12;04.Кві;male;200;04.Чер;Flying Machine;0.8;500;Yes;summer;plains;0.9
31;18;04.Вер;female;5000;5.0;Wildcraft;0.9;700;No;winter;plains;1.0
14;10;04.Лют;male;300;04.Кві;Johnson & Johnson;0.8;400;No;summer;plains;0.9
28;17;04.Вер;female;700;5.0;Wakefit;0.9;900;No;summer;plains;1.0
12;8;03.Лип;male;1000;03.Вер;Pepe Jeans London;0.5;200;No;winter;plains;0.8
25;15;04.Вер;female;800;5.0;Manyavar Mohey;0.9;400;No;summer;plains;1.0
8;7;03.Чер;male;2000;03.Сер;AmazonBasics;-0.1;500;Yes;winter;plains;0.3
21;14;04.Сер;female;300;5.0;Lakme Ayurveda;0.9;800;Yes;summer;plains;1.0
15;12;04.Бер;male;7000;04.Тра;Wildcraft;0.8;900;Yes;summer;coastal;0.9
30;19;5.0;female;100;5.0;Manyavar Mohey;0.9;1000;No;summer;plains;1.0
10;8;03.Чер;male;1000;03.Сер;Lee;0.1;300;No;summer;plains;0.4
19;13;04.Чер;female;2000;04.Сер;Johnson & Johnson;0.9;500;Yes;winter;coastal;1.0
34;20;5.0;male;300;5.0;Pepperfry;0.9;700;No;winter;plains;1.0
16;13;04.Тра;female;6000;04.Лип;Wildcraft;0.8;800;Yes;summer;coastal;0.9
29;18;04.Вер;male;400;5.0;Lee;0.9;300;No;summer;plains;1.0
13;9;4.0;female;900;04.Лют;Sugar Cosmetics;0.7;200;Yes;winter;plains;0.8
22;15;04.Вер;male;1000;5.0;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
17;12;04.Чер;female;400;04.Сер;Wakefit;0.8;400;Yes;summer;plains;0.9
32;19;5.0;male;700;5.0;Wildcraft;0.9;700;No;winter;plains;1.0
18;13;04.Лип;female;800;04.Вер;Manyavar Mohey;0.9;900;Yes;winter;plains;1.0
26;16;04.Вер;male;200;5.0;Wildcraft;0.9;1000;Yes;winter;plains;1.0
11;9;03.Вер;female;5000;04.Січ;Pepperfry;0.7;300;Yes;summer;plains;0.9
20;14;04.Чер;male;300;04.Сер;Lee;0.8;500;Yes;summer;plains;0.9
15;13;04.Кві;female;7000;04.Чер;Wildcraft;0.8;900;Yes;summer;coastal;0.9
30;20;5.0;male;100;5.0;Manyavar Mohey;0.9;1000;No;summer;plains;1.0
9;8;03.Лип;female;2000;03.Вер;Johnson & Johnson;0.4;400;Yes;summer;coastal;0.7
24;15;04.Сер;male;400;5.0;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;14;04.Чер;female;6000;04.Сер;Wildcraft;0.8;800;Yes;summer;coastal;0.9
11;10;4.0;male;300;04.Лют;Head Hunters;0.7;500;Yes;summer;coastal;0.9
29;19;04.Вер;female;700;5.0;Manyavar Mohey;0.9;1000;No;summer;plains;1.0
13;10;03.Сер;male;900;4.0;Sugar Cosmetics;0.7;200;Yes;winter;plains;0.8
22;16;5.0;female;1000;5.0;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
17;13;04.Лип;female;400;04.Вер;Wakefit;0.9;500;Yes;summer;plains;1.0
32;20;5.0;male;700;5.0;Wildcraft;0.9;700;No;winter;plains;1.0
18;14;04.Сер;female;800;5.0;Manyavar Mohey;0.9;900;Yes;winter;plains;1.0
26;17;5.0;male;200;5.0;Wildcraft;0.9;1000;Yes;winter;plains;1.0
11;11;04.Січ;female;5000;04.Бер;Pepperfry;0.8;300;Yes;summer;plains;0.9
20;15;04.Лип;male;300;04.Вер;Lee;0.8;500;Yes;summer;plains;0.9
15;14;04.Тра;female;7000;04.Лип;Wildcraft;0.8;900;Yes;summer;coastal;0.9
30;21;5.0;male;100;5.0;Manyavar Mohey;0.9;1000;No;summer;plains;1.0
9;9;03.Сер;female;2000;4.0;Johnson & Johnson;0.4;400;Yes;summer;coastal;0.7
24;16;04.Вер;male;400;5.0;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;15;04.Лип;female;6000;04.Вер;Wildcraft;0.8;800;Yes;summer;coastal;0.9
11;12;04.Лют;male;300;04.Кві;Head Hunters;0.8;500;Yes;summer;coastal;0.9
29;20;04.Вер;female;700;5.0;Manyavar Mohey;0.9;1000;No;summer;plains;1.0
13;11;03.Вер;male;900;04.Січ;Sugar Cosmetics;0.7;200;Yes;winter;plains;0.8
22;17;5.0;female;1000;5.0;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
17;14;04.Сер;female;400;5.0;Wakefit;0.9;500;Yes;summer;plains;1.0
32;21;5.0;male;700;5.0;Wildcraft;0.9;700;No;winter;plains;1.0
18;15;04.Вер;female;800;5.0;Manyavar Mohey;0.9;900;Yes;winter;plains;1.0
26;18;5.0;male;200;5.0;Wildcraft;0.9;1000;Yes;winter;plains;1.0
11;13;04.Бер;female;5000;04.Тра;Pepperfry;0.8;300;Yes;summer;plains;0.9
20;16;04.Сер;male;300;5.0;Lee;0.8;500;Yes;summer;plains;1.0
15;15;04.Чер;female;7000;04.Сер;Wildcraft;0.8;900;Yes;summer;coastal;0.9
23;10;04.Лют;male;700;04.Бер;Pepperfry;0.75;500;No;summer;plains;0.85
15;5;03.Сер;female;400;03.Вер;Max;0.62;300;No;winter;plains;0.65
8;2;04.Тра;male;3000;04.Лип;PUMA;0.85;2000;No;summer;mountains;0.92
45;18;04.Лип;female;2000;04.Сер;Head Hunters;0.9;1800;Yes;winter;plains;0.88
32;12;04.Січ;male;500;04.Лют;Johnson & Johnson;0.78;400;No;monsoon;coastal;0.7
10;3;03.Вер;male;900;03.Лип;Moov;-0.15;700;No;summer;plains;0.4
5;1;03.Лют;female;6000;03.Кві;Pepe Jeans London;0.45;600;Yes;winter;mountains;0.55
28;9;4.0;female;1000;04.Лют;Wildcraft;0.8;900;No;summer;plains;0.78
19;7;04.Бер;male;1500;04.Чер;Kama Ayurveda;0.88;1400;No;winter;mountains;0.9
38;15;04.Чер;female;200;04.Тра;Manyavar Mohey;0.92;180;Yes;monsoon;coastal;0.95
12;4;03.Тра;female;400;03.Чер;Libram;0.55;300;No;winter;plains;0.6
20;6;03.Лип;male;700;03.Вер;Lee;0.7;600;Yes;summer;plains;0.72
7;2;04.Сер;male;2000;04.Вер;Himalaya Liv.52;0.85;1900;No;monsoon;mountains;0.78
42;17;04.Вер;female;3000;04.Лип;Patanjali Ayurved (Health Care);0.82;2500;Yes;winter;plains;0.8
25;8;04.Кві;female;800;04.Тра;Lakme Ayurveda;0.75;700;No;summer;plains;0.68
30;11;04.Бер;male;1000;04.Кві;Flying Machine;0.68;900;Yes;winter;mountains;0.7
14;5;03.Чер;male;500;03.Тра;Fastrack;0.6;400;No;monsoon;coastal;0.5
6;2;3.0;female;6000;03.Січ;Khadi Essentials;0.4;500;Yes;winter;mountains;0.45
35;14;04.Тра;female;300;04.Чер;Allen Solly Woman;0.88;250;No;summer;plains;0.82
18;7;04.Січ;male;900;04.Бер;Whisper;0.65;800;No;winter;plains;0.7
9;3;04.Лип;female;1500;04.Сер;Levis Strauss & Co.;0.9;1300;Yes;summer;mountains;0.85
22;9;4.0;male;400;04.Січ;Wakefit;0.72;300;No;monsoon;coastal;0.65
11;4;03.Сер;female;700;03.Лип;Wild Stone;0.5;600;Yes;winter;mountains;0.55
16;6;04.Лют;female;2000;04.Кві;Forest Essentials;0.78;1800;No;summer;plains;0.75
40;16;04.Кві;male;100;04.Бер;Biovea;0.82;90;No;monsoon;coastal;0.75
29;11;04.Бер;male;600;04.Тра;Johnson & Johnson;0.7;500;No;summer;plains;0.68
13;5;03.Лип;female;5000;03.Вер;Pepperfry;0.6;4500;Yes;winter;mountains;0.65
8;3;04.Чер;female;800;04.Лип;U.S. Polo Assn. Women;0.85;700;No;summer;plains;0.82
36;14;04.Тра;male;3000;04.Сер;Wildcraft;0.92;2700;Yes;winter;mountains;0.88
21;8;04.Лют;female;700;04.Бер;Manyavar Mohey;0.78;600;No;summer;plains;0.72
45;18;04.Сер;male;2000;04.Лип;Lee;0.8;1800;No;winter;plains;0.75
10;4;03.Вер;male;400;03.Сер;Sugar Cosmetics;0.45;300;Yes;summer;plains;0.4
27;10;04.Січ;female;1000;04.Лют;Forest Essentials;0.68;900;No;winter;mountains;0.62
17;7;03.Тра;male;900;03.Лип;Streax;0.55;800;Yes;summer;plains;0.5
33;13;04.Чер;female;1500;04.Тра;Himalaya Liv.52;0.75;1400;No;monsoon;coastal;0.78
5;2;03.Лют;male;600;03.Бер;Allen Solly Woman;0.4;500;Yes;winter;mountains;0.45
39;15;04.Лип;male;100;04.Чер;Moov;0.85;90;No;summer;plains;0.82
24;9;04.Кві;female;2000;04.Тра;Head Hunters;0.9;1800;Yes;winter;plains;0.88
12;4;03.Сер;male;500;03.Лип;Libram;0.62;400;No;summer;plains;0.6
41;16;04.Бер;female;3000;04.Кві;Wakefit;0.72;2800;Yes;winter;mountains;0.75
19;7;03.Вер;male;800;4.0;Vero Moda;0.5;700;No;summer;plains;0.45
30;11;04.Тра;female;1000;04.Чер;PUMA;0.82;900;No;winter;mountains;0.78
14;5;03.Чер;male;700;03.Тра;Pepe Jeans London;0.4;600;Yes;summer;plains;0.35
28;10;04.Сер;male;1500;04.Лип;Godrej Interio;0.75;1400;No;monsoon;coastal;0.7
8;3;03.Бер;female;6000;03.Тра;Zandu;0.35;550;Yes;winter;mountains;0.3
25;9;04.Лют;male;200;04.Кві;Lee Cooper;0.68;190;No;summer;plains;0.65
35;14;04.Чер;female;1000;04.Лип;Manyavar Mohey;0.88;950;No;winter;mountains;0.85
9;4;04.Січ;female;400;04.Бер;Lakme Ayurveda;0.72;300;No;summer;plains;0.68
20;8;03.Лип;male;900;03.Вер;Patanjali Ayurved (Health Care);0.55;800;Yes;winter;plains;0.5
16;6;03.Сер;female;700;4.0;Lijoba;0.62;600;No;summer;plains;0.6
32;12;04.Кві;male;2000;04.Тра;Max;0.8;1800;Yes;winter;plains;0.78
10;3;4.0;female;600;04.Січ;Head Hunters;0.75;500;No;summer;plains;0.72
24;9;04.Чер;male;1000;04.Лип;Flying Machine;0.88;900;No;winter;mountains;0.85
7;2;03.Тра;female;5000;03.Лип;Dettol;0.4;4500;Yes;summer;coastal;0.45
39;15;04.Вер;male;300;04.Сер;Flying Machine;0.92;280;No;monsoon;coastal;0.88
18;7;04.Бер;female;900;04.Кві;Wildcraft;0.78;800;No;summer;plains;0.75
29;11;04.Лип;male;1500;04.Чер;Sugar Cosmetics;0.82;1400;Yes;winter;mountains;0.8
13;5;03.Чер;female;400;03.Тра;Streax;0.5;300;No;summer;plains;0.45
26;10;04.Січ;male;800;04.Бер;Wild Stone;0.7;700;No;winter;plains;0.68
8;3;04.Лют;male;2000;04.Кві;Kama Ayurveda;0.75;1900;Yes;summer;mountains;0.72
34;13;04.Тра;female;100;04.Чер;Dettol;0.9;90;No;monsoon;coastal;0.88
21;8;03.Вер;female;700;04.Січ;Allen Solly Woman;0.65;600;No;summer;plains;0.62
45;18;04.Сер;male;2000;04.Лип;Pepperfry;0.82;1800;Yes;winter;plains;0.8
10;4;03.Лип;male;500;03.Вер;Whisper;0.55;400;No;summer;plains;0.5
27;10;04.Бер;female;1500;04.Тра;Manyavar Mohey;0.72;1400;Yes;winter;mountains;0.68
15;6;03.Сер;female;5000;4.0;Moov;0.45;4500;No;summer;coastal;0.4
31;12;04.Чер;male;300;04.Тра;Flying Machine;0.85;280;No;monsoon;coastal;0.82
6;2;03.Бер;male;800;03.Тра;SleepyCat;0.4;700;No;winter;plains;0.35
38;15;04.Вер;female;1000;04.Сер;Wildcraft;0.9;900;Yes;summer;mountains;0.88
19;7;03.Лип;female;2000;03.Сер;Patanjali Ayurved (Health Care);0.58;1900;No;winter;plains;0.55
22;7;04.Лют;male;1000;04.Чер;Lakme Ayurveda;0.8;700;No;summer;plains;0.85
8;2;03.Вер;female;300;03.Лют;Flying Machine;-0.2;2000;Yes;winter;plains;0.45
35;14;04.Лип;male;5000;04.Сер;Urban Ladder;0.9;9000;Yes;monsoon;mountains;0.95
12;5;04.Тра;female;2000;03.Вер;Dove Hair;0.5;3000;No;spring;plains;0.65
43;18;04.Вер;male;10000;04.Лип;Patanjali Ayurved (Health Care);0.7;4000;No;winter;plains;0.75
5;1;03.Січ;female;100;02.Тра;Manyavar Mohey;-0.8;800;Yes;summer;coastal;0.15
29;10;04.Кві;male;3000;04.Лют;Wildcraft;0.6;6000;No;monsoon;mountains;0.8
17;4;03.Сер;female;1000;03.Чер;Pepe Jeans London;-0.1;700;No;summer;plains;0.4
38;16;04.Чер;male;7000;04.Вер;Allen Solly Woman;0.95;10000;Yes;winter;mountains;0.9
3;0;02.Лют;female;100;01.Сер;Johnson & Johnson;-0.9;200;No;summer;coastal;0.05
25;9;04.Січ;male;500;03.Сер;Head & Shoulders;0.3;4000;No;winter;plains;0.7
10;3;03.Тра;female;2000;03.Кві;Pepperfry;-0.3;500;No;spring;plains;0.5
47;19;04.Сер;male;9000;04.Тра;Dettol;0.85;8000;No;winter;mountains;0.85
2;0;01.Тра;female;100;01.Лют;Libram;-0.95;100;No;summer;coastal;0.025
31;12;04.Бер;male;4000;04.Бер;Lijoba;0.4;3000;No;monsoon;mountains;0.75
14;6;03.Лип;female;300;03.Січ;Max;-0.5;1000;No;spring;plains;0.55
40;17;04.Лип;male;6000;04.Чер;Fastrack;0.75;7000;Yes;monsoon;mountains;0.9
6;1;02.Тра;female;200;02.Лют;Wakefit;-0.7;600;No;spring;plains;0.3
19;8;4.0;male;6000;04.Кві;Kama Ayurveda;0.2;5000;Yes;winter;mountains;0.8
1;0;1.0;female;100;1.0;Biovea;-1.0;100;No;summer;coastal;0.0
34;15;04.Тра;male;8000;04.Сер;Urban Ladder;0.9;9000;Yes;winter;mountains;0.95
9;2;03.Бер;female;400;02.Сер;The Moms Co.;-0.4;800;No;spring;plains;0.45
42;16;04.Вер;male;7000;04.Лип;Himalaya Liv.52;0.8;9000;Yes;monsoon;mountains;0.95
4;0;2.0;female;100;01.Тра;Manyavar Mohey;-0.85;200;No;summer;coastal;0.03
28;11;04.Лют;male;2000;03.Лип;Streax;0.1;2000;No;winter;plains;0.6
18;7;04.Січ;female;700;04.Кві;Khadi Essentials;-0.2;800;No;summer;plains;0.6
37;15;04.Чер;male;6000;04.Лип;Patanjali Ayurved (Health Care);0.7;5000;Yes;winter;mountains;0.8
5;2;02.Сер;female;100;02.Січ;Flying Machine;-0.6;300;No;spring;plains;0.25
23;10;03.Вер;male;2000;03.Тра;Lee;-0.1;2000;No;winter;plains;0.55
46;18;04.Сер;male;9000;04.Вер;Dettol;0.9;10000;Yes;winter;mountains;0.95
3;1;01.Тра;female;100;01.Лют;Manyavar Mohey;-0.9;100;No;summer;coastal;0.025
30;12;04.Бер;male;4000;04.Січ;Lijoba;0.3;3000;No;monsoon;mountains;0.7
15;6;03.Чер;female;500;3.0;Max;-0.4;800;No;spring;plains;0.45
39;16;04.Лип;male;7000;04.Сер;Fastrack;0.8;8000;Yes;monsoon;mountains;0.9
1;0;1.0;female;100;1.0;Biovea;-1.0;100;No;summer;coastal;0.0
26;11;4.0;male;3000;03.Вер;Johnson & Johnson;0.1;3000;No;winter;plains;0.65
11;4;03.Кві;female;300;02.Лип;Wakefit;-0.5;500;No;spring;plains;0.4
44;17;04.Сер;male;8000;04.Чер;Urban Ladder;0.85;9000;Yes;winter;mountains;0.95
4;1;2.0;female;200;01.Сер;Manyavar Mohey;-0.85;200;No;summer;coastal;0.03
32;13;04.Кві;male;5000;04.Тра;Dettol;0.6;6000;No;monsoon;mountains;0.8
13;5;03.Тра;female;700;03.Лют;Pepperfry;-0.3;900;No;spring;plains;0.5
41;17;04.Вер;male;7000;04.Сер;Himalaya Liv.52;0.85;8000;Yes;monsoon;mountains;0.95
7;2;02.Лют;female;100;01.Вер;Libram;-0.7;300;No;summer;coastal;0.15
29;12;04.Бер;male;4000;04.Лют;Lijoba;0.4;3000;No;monsoon;mountains;0.7
16;7;03.Сер;female;600;03.Бер;Pepe Jeans London;-0.2;1000;No;spring;plains;0.55
38;16;04.Лип;male;7000;04.Вер;Allen Solly Woman;0.9;10000;Yes;winter;mountains;0.9
2;0;1.0;female;100;1.0;Biovea;-1.0;100;No;summer;coastal;0.0
27;11;04.Січ;male;4000;03.Сер;Head & Shoulders;0.2;4000;No;winter;plains;0.7
9;3;03.Лют;female;400;02.Вер;The Moms Co.;-0.4;800;No;spring;plains;0.45
48;19;04.Вер;male;10000;04.Чер;Dettol;0.9;9000;Yes;winter;mountains;0.95
6;1;02.Тра;female;200;02.Лют;Wakefit;-0.6;600;No;spring;plains;0.3
34;14;04.Тра;male;8000;04.Сер;Urban Ladder;0.9;9000;Yes;winter;mountains;0.95
10;4;03.Бер;female;500;02.Сер;The Moms Co.;-0.5;900;No;spring;plains;0.4
45;18;04.Сер;male;9000;04.Вер;Dettol;0.9;10000;Yes;winter;mountains;0.95
8;2;02.Сер;female;200;02.Січ;Flying Machine;-0.7;300;No;spring;plains;0.25
33;13;04.Кві;male;5000;04.Тра;Dettol;0.7;6000;No;monsoon;mountains;0.8
12;5;03.Кві;female;600;03.Січ;Pepperfry;-0.3;1000;No;spring;plains;0.5
50;20;5.0;male;10000;04.Сер;Streax;1.0;10000;Yes;winter;mountains;1.0
21;9;03.Вер;female;800;03.Чер;Kama Ayurveda;-0.1;600;No;spring;plains;0.55
49;19;04.Вер;male;10000;04.Сер;Himalaya Liv.52;0.9;9000;Yes;monsoon;mountains;0.95
14;6;03.Тра;female;700;03.Лют;Pepperfry;-0.4;900;No;spring;plains;0.5
36;15;04.Тра;male;6000;04.Лип;Patanjali Ayurved (Health Care);0.8;5000;Yes;winter;mountains;0.85
17;8;03.Лип;female;900;03.Кві;Max;-0.2;1200;No;spring;plains;0.6
43;17;04.Сер;male;8000;04.Лип;Himalaya Liv.52;0.9;8000;Yes;winter;mountains;0.95
19;7;03.Сер;female;700;03.Тра;Khadi Essentials;-0.3;700;No;spring;plains;0.55
35;14;04.Чер;male;7000;04.Вер;Allen Solly Woman;0.95;10000;Yes;winter;mountains;0.9
20;8;03.Сер;female;800;03.Тра;Khadi Essentials;-0.2;800;No;spring;plains;0.6
47;19;04.Вер;male;10000;04.Лип;Himalaya Liv.52;0.9;9000;Yes;monsoon;mountains;0.95
22;10;4.0;female;800;03.Лип;Kama Ayurveda;-0.1;700;No;spring;plains;0.6
40;16;04.Лип;male;7000;04.Сер;Fastrack;0.85;8000;Yes;monsoon;mountains;0.9
25;11;04.Лют;female;1000;03.Сер;Flying Machine;-0.1;1500;No;spring;plains;0.6
42;18;04.Сер;male;8000;04.Чер;Himalaya Liv.52;0.9;8000;Yes;monsoon;mountains;0.95
7;3;02.Тра;female;200;02.Лют;Wakefit;-0.7;600;No;spring;plains;0.3
